Title,Link,Date,Summary
才開嗆呱吉！龍龍遭爆「炎上找4寫手」：沒聲稱我的本是自己寫的,https://www.ettoday.net/news/20211003/2093134.htm?from=pctaglist,2021-10-03 17:04,脫口秀演員「龍龍」控訴被薩泰爾班底「老K」出言霸凌，之後又被呱吉（邱威傑）開直播暗指不好相處，風波延燒至今戰火依然猛烈。而她之前表示從正式登台至今，單口喜劇的稿子都是自己寫的，3日卻在回應中提到「沒聲稱我的本是自己寫的」，遭質疑雙重標準。
呱吉道歉龍龍了！「挖出1年前PO文」　點名老K霸凌：應該道歉,https://www.ettoday.net/news/20211001/2091737.htm?from=pctaglist,2021-10-01 15:24,脫口秀演員「龍龍」控訴被薩泰爾班底「老K」出言霸凌，也不滿被呱吉開直播貼上難相處的標籤，1日在臉書發文反擊，對此，呱吉留言道歉，PO出2020年她在《吐槽大會》後的發文，表示這些指控是經過觀察及她過去的發言，但強調認同老K發言不當，應該道歉，引起外界熱議。
龍龍暴怒開戰呱吉：噁不噁心！　「400字火力滿點」親揭被誣衊真相,https://www.ettoday.net/news/20211001/2091700.htm?from=pctaglist,2021-10-01 15:04,脫口秀演員「龍龍」控訴被薩泰爾班底「老K」出言霸凌，連薩泰爾老闆曾博恩也坦言管不動，呱吉（邱威傑）卻開直播提及她因為講話沒人理，憤而退出《吐槽大會》活動，對此，龍龍發文打臉，怒嗆呱吉直播內容令人反胃、刻意帶風向，「到底噁不噁心、扭不扭曲啊？」
驚爆「龍龍爆氣退群組」內幕！　呱吉酒後直播：我不知怎跟她相處,https://www.ettoday.net/news/20211001/2091301.htm?from=pctaglist,2021-10-01 09:12,無黨籍台北市議員呱吉（邱威傑）是網紅出身，昨（9月30日）深夜酒後直播時，針對龍龍指控遭到老K霸凌一事，發表個人看法，還爆料女方原本是《吐槽大會》的成員之一，最後卻因不滿群組無人理會她的留言而退出，他坦言：「我不知道怎麼跟她相處，這就是我真實的感受。」言論掀起熱議，也引來不少粉絲留言狂勸「別再說了」。
陳柏惟台語問政掀論戰　呱吉「一句話力挺」！網怒嗆：這叫硬拗,https://www.ettoday.net/news/20210928/2089329.htm?from=pctaglist,2021-09-28 18:41,台灣基進黨立委陳柏惟昨（27）日於立院，要求全程以台語質詢國防部長邱國正，但雙方因認知不同引發爭執。對此，台北市議員邱威傑、呱吉表示，如果你認為這是尊重社會多元文化的一部分，那你就不需要質疑為什麼有人在國會殿堂上堅持講台語。但有網友卻認為這叫這叫硬拗。
呱吉稱不需太在意被譏「塔綠班」：民進黨以前就是這樣贏國民黨的,https://www.ettoday.net/news/20210921/2084200.htm?from=pctaglist,2021-09-21 16:49,上月底美軍撤退阿富汗成國際焦點時，有PTT網友以「塔綠班」諷刺民進黨及其支持者，成時下網路哏；名嘴朱學恒近日改編綠油精廣告曲，創作出「塔綠班之歌」，歌詞中除直白寫著「綠畜」外，還找了民眾黨立委高虹安、媒體人黃暐瀚獻唱，惹怒綠營。對此，台北市議員「呱吉」邱威傑21日下午在臉書表示，自己雖不贊同塔綠班這種稱呼，但也覺得不需太過在意。
收到鄭家純送的飛機杯！　呱吉看「蔡哥尺寸」一比傻眼：真的生氣了,https://www.ettoday.net/news/20210913/2078723.htm?from=pctaglist,2021-09-13 21:33,藝人鄭家純（雞排妹）經營自創情趣用品品牌，前陣子大力宣傳的飛機杯「純愛杯」，也送了不少給身邊的網紅試用，台北市議員兼YouTube頻道「上班不要看」的老闆呱吉（邱威傑）也收到了公關品，不料卻因為身旁頻道成員蔡哥拿到的尺寸比他大，讓他傻眼「這下子我真的生氣了」，笑翻網友。
疫情衝擊、市場需求　呱吉提議「開放網路賣酒」逾5000人連署,https://www.ettoday.net/news/20210907/2074094.htm?from=pctaglist,2021-09-07 18:22,網路何時才能開放賣酒，爭議已久，台北市議員邱威傑（呱吉）透過公共政策網路參與平台，提議修正《菸酒管理法》第三十條，發起「開放網路賣酒」連署，逾5000人附議達標，主管機關財政部須於10月3日前具體回應說明。網路購物商機大，再加上疫情改變購物習慣，時空環境背景不同以往，對於外界擔心未成年身分造假在網路買酒或酒駕加遽，邱威傑認為，以現在的科技手段來說，其實可以解決網路身分驗證或實名制等問題，建議參考各國作法予以開放。
好萊塢巨星「打工辛酸畫面」流出　瞿友寧、呱吉笑瘋被療癒,https://www.ettoday.net/news/20210826/2064660.htm?from=pctaglist,2021-08-26 07:14,集結三大金獎影帝勞勃狄尼洛、摩根費里曼、湯米李瓊斯爆笑主演的年度爆笑喜劇片《詐製片家》，片中三位影帝為了詐領保險金，竟把歪腦筋動到電影上，以製片身份惡搞拍片現場，超爆笑題材讓許多台灣影人看得心有戚戚焉。
樂透獎金「越疊加越多人買」！議員一句分析超神　網笑噴：準爆,https://www.ettoday.net/news/20210821/2061381.htm?from=pctaglist,2021-08-21 17:04,無黨籍台北市議員「呱吉」邱威傑是網紅出身，經常在臉書分享對時事的看法，或是分享日常。今（21）日下午他就貼文，像是用了讀心術般的一句話，讓許多人直呼根本就是自己的心聲，連網紅四叉貓也現身「同行勿擾，我跟你之間最後只有一個人笑的（得）出來！」
陳時中成為「虛擬貨幣大師」網瘋傳！　內行揭手法：之前是郭董,https://www.ettoday.net/news/20210630/2019601.htm?from=pctaglist,2021-06-30 17:49,假消息要慎防！指揮中心指揮官陳時中日前才被假消息瘋傳，本名是「南雲忠一」，因為做了人體實驗的關係，從二戰一路活到現在，今年已經129歲了。台北市議員「呱吉」邱威傑今指出，最近點開一則新聞頁面，內容竟然是「陳時中教大家買虛擬貨幣」。貼文一出，引發網友熱議。
林珍羽161秒內講了7次「珍羽」　呱吉譏「原始人」：發言超沒邏輯,https://www.ettoday.net/news/20210626/2016542.htm?from=pctaglist,2021-06-26 20:13,針對好心肝調查報告限北市議員看30分鐘爭議，北市府副發言人林珍羽26日在北市防疫記者會「不實訊息澄清專區」時段，點名北市議員邱威傑（呱吉），盼他如果覺得時間不足，可以向市府「協商」，而非用「拗」；但由於在整段短短2分41秒中，林珍羽說了7次「珍羽」，讓邱威傑在臉書嘲諷，「我一直以為會用自己的名字來當作主詞的只有原始人和宋楚瑜」。
呱吉看好心肝調查報告！釣出高嘉瑜「崩潰臉」自損：有看到我嗎,https://www.ettoday.net/news/20210625/2015437.htm?from=pctaglist,2021-06-25 12:00,台北中正區好心肝診所特權施打疫苗爆出爭議，北市政風處對此提出約百頁的完整報告書，不過要看報告有所限制，遭到議員質疑。北市議員邱威傑（呱吉）就在臉書發文，市府僅提供5頁「精簡版」給議員，詳細版只能去「小房間」看30分鐘，還不能拍照、抄筆記，「不給看是合理的嗎？」貼文則釣出高嘉瑜開自己玩笑「有看到我嗎？」讓眾人笑翻。
好心肝百頁調查報告「議員限看30分鐘」　林穎孟：柯文哲信用破產,https://www.ettoday.net/news/20210624/2015108.htm?from=pctaglist,2021-06-24 19:47,針對台北中正區好心肝診所特權施打疫苗爭議，北市政風處提出約百頁的完整報告書，但北市議員林穎孟24日指出，市府僅提供5頁「精簡版」給議員，詳細版只能去「小房間」看30分鐘，且還不能拍照、抄筆記，直批「柯市長自豪的公開透明完全信用破產」；另位北市議員邱威傑（呱吉）則困惑，不給看是合理的嗎？
呱吉評論林瑋豐「看不出跟民進黨的關係」　起碼是個立場一致的人,https://www.ettoday.net/news/20210525/1990964.htm?from=pctaglist,2021-05-25 20:36,親綠寫手林瑋豐遭質疑自導自演炒作「認知作戰」話題，在PTT引發「反串之亂」。對此同樣熟知網路生態的台北市議員「呱吉」邱威傑就發文評論指出，看不出來林瑋豐跟民進黨的關係，從過往的認識起碼林瑋豐是個立場一致的人。
口譯哥返台投入北市選戰　呱吉神分析最有可能選「這一區」,https://www.ettoday.net/news/20210424/1967335.htm?from=pctaglist,2021-04-24 14:01,駐美代表處政治組長「口譯哥」趙怡翔上周傳出將請辭返台，準備投入2022年地方議員選舉，預計鎖定台北市。對此，無黨籍台北市議員「呱吉」邱威傑分析，趙怡翔可能會選擇松山信義區的選戰。
影／奇摩知識+「9大不可思議知識問答」！ADSL經典炸：鄉民還是愛,https://www.ettoday.net/news/20210415/1961036.htm?from=pctaglist,2021-04-15 16:31,本站6日曾報導《16年Yahoo奇摩知識+宣布關閉！用戶收通知淚　「手槍伯」傳奇掰了》，擁有16年歷史的「Yahoo奇摩知識+」將於5月4日關閉，從4月20日起用戶就不能再發布新問題或提供解答，而所有資料將在6月30日起刪除。台北市議員邱威傑（呱吉）就在YouTube發影片，討論10大不可思議知識問答，讓網友笑噴。
呱吉怒揭無良粉專以「罹難者名義」騙捐款　家屬說話了...,https://www.ettoday.net/news/20210408/1956118.htm?from=pctaglist,2021-04-08 16:58,今天是台鐵太魯閣號翻覆事件頭七，意外一共造成50人罹難，其中一位罹難者為消防特考班學員黃法喆。有臉書粉專「Kuso宅卡啦」貼出黃法喆的故事，並附上捐款連結，企圖打著罹難者的名義騙捐款，甚至刪掉黃法喆妹妹在該貼文底下的澄清留言，讓台北市議員邱威傑（呱吉）氣憤轉分享。
顏若芳沉潛王定宇沒事　呱吉曾預言：她和蝴蝶姐姐一樣銷聲匿跡,https://www.ettoday.net/news/20210315/1938916.htm?from=pctaglist,2021-03-15 22:00,對於被媒體拍到和民進黨立委王定宇同居，顏若芳15日表示，記取經驗，房子不再外租，同時為了個人私事影響公務道歉，並自請處分取消對外發言的工作。台北市議員「呱吉」邱威傑就曾預言，顏若芳會和蝴蝶姐姐一樣銷聲匿跡，還有網友留言「預測成功」。
一日北高關注度輸呱吉　柯文哲：很正常啊！畢竟騎過了,https://www.ettoday.net/news/20210302/1929377.htm?from=pctaglist,2021-03-02 16:55,台北市長柯文哲2月28日凌晨0時進行「一日北高」挑戰，總預算高達72萬元，其中20萬元為直播經費，然而卻爆出畫面與聲音有問題等狀況，且觀看人數還不如台北市議員「呱吉」邱威傑日前挑戰的「一日雙塔」。對此，柯文哲2日受訪時表示，關注度不高「很正常啊！」畢竟都已經騎過了。
歡樂無法黨「解散原因曝光」　呱吉沉重宣告：早預訂好廢黨,https://www.ettoday.net/news/20210220/1923075.htm?from=pctaglist,2021-02-20 20:53,台北市議員「呱吉」邱威傑與知名網紅「志祺」、「視網膜」於2019年11月成立「歡樂無法黨」，因為未依法完成法人登記，遭內政部於2月19日廢止政黨備案。對此，呱吉透過粉專「歡樂無法黨」說明，黨內沒有在2022或2024推出候選人的打算，因此最佳的解散時機就是不完成法人登記。
歡樂無法黨遭廢黨　呱吉：階段性任務完成,https://www.ettoday.net/news/20210220/1922983.htm?from=pctaglist,2021-02-20 17:10,台北市議員、知名YouTuber「呱吉」邱威傑，2019年11月5日宣布與志祺七七、視網膜、眼球中央等網紅聯手籌組「歡樂無法黨」，同月在14日舉辦歡樂無法黨成立大會。但內政部19日公告，歡樂無法黨因為在備案後1年內未成法人登記，宣布廢止該黨的政黨備案。
呱吉組「歡樂無法黨」2年就掰了　未完成法人登記遭內政部廢黨,https://www.ettoday.net/news/20210220/1922969.htm?from=pctaglist,2021-02-20 17:08,台北市議員「呱吉」邱威傑與知名網紅「志祺」、「視網膜」於2019年11月成立「歡樂無法黨」，但該黨成立兩年多的時間卻因為沒有完成法人登記，內政部於2月19日依法廢止政黨備案。
呱吉酸趙少康選總統「蠻弱的」　大概跟沈富雄差不多而已,https://www.ettoday.net/news/20210210/1918374.htm?from=pctaglist,2021-02-10 09:39,資深媒體人趙少康重返國民黨，日前更表態要參選2024掀起政壇一股震撼。不過，台北市議員「呱吉」邱威傑則認為，覺得趙少康「蠻弱的，大概跟沈富雄差不多而已」。
才挺雞排妹！呱吉被挖出脫口秀喊「把高雄人X到脫肛」　網怒轟雙標,https://www.ettoday.net/news/20210206/1915660.htm?from=pctaglist,2021-02-06 10:29,雞排妹（鄭家純）日前控訴翁立友在尾牙場上性騷擾，但卻被網友翻出她曾在直播節目上，透露被一名醫師拍屁股其實蠻爽的，進而遭質疑是「雙重標準」。對此，台北市議員呱吉（邱威傑）舉例力挺雞排妹，表明「所有的話都是看人看地點講的」。原本這席話被網友讚爆，但後來就有人挖出呱吉之前的脫口秀影片，發現內容超不妥當，根本就是公然「性騷擾」。
罷免陳柏惟「很困難」？　呱吉分析「不make sense」傻瓜才做,https://www.ettoday.net/news/20210203/1913629.htm?from=pctaglist,2021-02-03 16:28,前桃園市議員王浩宇遭罷免後，高雄市無黨籍議員黃捷的罷免案也將於本周六舉行；此外，先前有台中里長出面表態罷免台灣基進黨立委陳柏惟，連署已於2月1日啟動。對此，台北市議員「呱吉」邱威傑分析，這個罷免門檻很難，如果當地里長推動罷免案「傻瓜才會做，這件事很不make sense（不合理）」。
《天竺鼠車車》塞車是「呱吉的錯」　萬人朝聖關鍵1幕：抓到你了,https://www.ettoday.net/news/20210121/1903716.htm?from=pctaglist,2021-01-21 10:11,日本定格動畫《PUI PUI 天竺鼠車車》在台灣引發熱議，其內容以日常生活為主，再透過天竺鼠的角度呈現，雖然原本是設定給孩童觀看，但卻意外吸引大人們的關注。《PUI PUI 天竺鼠車車》的第1話「塞車了是誰的錯」在YouTube公開後，就有網友笑稱，裡頭害後方大塞車的罪魁禍首超像台北市議員「呱吉」；對此，呱吉也在臉書上幽默回應。
「現場所有叫囂都是表演而已」　呱吉曝未參與零檢出釋憲案表決理由,https://www.ettoday.net/news/20210107/1893775.htm?from=pctaglist,2021-01-07 17:21,針對行政院日前宣布地方政府以自治條例規定萊濟零檢出，抵觸中央法規無效，北市議會6日在國民黨團人數優勢下，表決通過釋憲案。對此，無黨籍北市議員邱威傑（呱吉）7日透露未參與表決的理由，並批評「現場的所有叫囂都是表演而已」。
防數位身分證洩個資　唐鳳傳授貼「不透明膠帶」輕鬆搞定,https://www.ettoday.net/news/20201218/1879324.htm?from=pctaglist,2020-12-18 15:52,內政部預告明年1月起先在新竹市小規模試辦「數位身分證」，結束後並於6、7月檢討資安防護、個資防護，確認是否須調整。針對民眾的資安疑慮，行政院數位政委唐鳳鼓勵民眾可善用不透明膠帶保護個人隱私，只要把條碼跟機讀碼這2欄位貼掉，證件資料就不會被感應到而遭讀取。
呱吉爆「雞排妹上廁所」驚人之舉：做到真的屌！她高調曝光閨房照,https://www.ettoday.net/news/20201125/1861965.htm?from=pctaglist,2020-11-25 00:46,台北市議員邱威捷「呱吉」6日在網路廣播Podcast節目上談到，自己曾因跟空服員親切打招呼，而被讚賞，但他其實看過更了不起的名人，就是「雞排妹」鄭家純，「能做這件事真的很屌」，機組人員發現，每次雞排妹上完廁所，就會像剛剛打掃完，全部都擦得乾乾淨淨。雞排妹24日也發文分享自己整潔8大秘招。
鄭人碩失傳「金手指」大嘆：遺憾！　呱吉自嘲「這點」像酒店小姐,https://www.ettoday.net/news/20201120/1858387.htm?from=pctaglist,2020-11-20 11:30,同學注意！納豆X鄭人碩兩位自帶綜藝感的金馬準男配來廝殺！還有上班不要看首領呱吉aka台北市議員邱威傑大解密雙重身份甘苦談，本週立喆也要來尬全台第一台MINI GP，偷天換日不是夢！
小S質疑新課綱刪三國「有什麼好抽掉？」　呱吉：讀書的事問她幹嘛,https://www.ettoday.net/news/20200912/1807253.htm?from=pctaglist,2020-09-12 09:50,教育部推出的新課綱隨著近日開學受到關注，有國中歷史老師發現新版教課書中，三國、劉邦等內容被刪減，因而引發討論是否略古詳今，對此小S表示：「三國志有什麼好抽掉的啊？讓小朋多讀一些歷史不是很好嗎？」沒想到她的這番話遭多位公眾人物批評。
「歡迎核廢放我家」359字電翻呱吉　黃士修曝原因！網友瘋搶報名,https://www.ettoday.net/news/20200903/1799842.htm?from=pctaglist,2020-09-03 06:06,台北市議員呱吉（邱威傑）2日在臉書PO文表示，目前人在蘭嶼，剛好看到核廢存放區，覺得應該叫核能流言終結者的人都來認領一公斤回家。沒想到文章才PO出半小時，以核養綠公投發起人黃士修不僅在個人臉書PO文反酸，甚至還在呱吉的文章底下留言，「可怕的是，核終真的會抵達，呵呵」、「沒問題，我向來大方主張核廢料放我家」。
林書豪拿中華民國護照！　呱吉揭「一魚雙吃」內幕：常出差的就懂,https://www.ettoday.net/news/20200820/1789622.htm?from=pctaglist,2020-08-20 18:36,球星林書豪入籍台灣，證實已於7月30日拿到中華民國護照，引發各界關注。對此，身為台北市議員的網紅呱吉（邱威傑）就分享自身看法，他更認為林書豪這招就是「一魚雙吃」。
臉書PO「松山邱威傑」酒駕判決！呱吉急撇：不是我…網：原來70年代菜市場名,https://www.ettoday.net/news/20200714/1760353.htm?from=pctaglist,2020-07-14 18:08,台北市議員邱威傑（呱吉）14日在個人臉書上貼出一張「酒駕法院判決書」，由於判決書上被告與他同名同姓，案發地剛好也在他居住地松山區，助理無意間看到後非常緊張，趕緊問他是不是本人，呱吉連忙回應「當然不是」。網友們看完後紛紛開玩笑表示，「原來威傑是 1970 年代的菜市場名啊」。
蔡英文、韓國瑜付錢上《博恩夜夜秀》　呱吉：「未揭露利益」是道德瑕疵,https://www.ettoday.net/news/20200711/1757874.htm?from=pctaglist,2020-07-11 11:00,監察院10日公開第15任總統、副總統選舉政治獻金收支結算表，只見當時角逐總統大位的國民黨候選人、前高雄市長韓國瑜支付2筆共31.5萬元費用給網路節目《博恩夜夜秀》，總統蔡英文卻只支付13萬1040元，雙方價碼差了2倍左右。對此，台北市議員「呱吉」邱威傑認為，博恩在節目中做業配，如果沒有揭露利益，「就是道德瑕疵。」
質疑大巨蛋違法復工！呱吉爆「驚人真相」：我們苦無證據,https://www.ettoday.net/news/20200624/1745033.htm?from=pctaglist,2020-06-24 00:05,大巨蛋有望復工，北市府昨（22）日簽准建照變更，最快6月底核發建照後，即可申請復工。不過，雖然大巨蛋在5年前就停工，但遠雄還是有權基於公安需求進行施工，台北市議員「呱吉」邱威傑在臉書對此表示，他曾與許多議員質疑遠雄擴大解釋公安需求，違法復工，但除了空調與數張座椅的爭議外，他們苦無證據。
時力推「黃標大賞」邀Youtuber投入公共議題　呱吉出任評審團長,https://www.ettoday.net/news/20200616/1739292.htm?from=pctaglist,2020-06-16 19:39,為了讓民眾擴大公共議題參與，時代力量發起「公民參戰黃標Youtuber大賞」活動，針對台灣正名、工時工資、高房價、反紅媒反滲透等四大主題徵選Youtuber影片，並由知名Youtuber呱吉、志祺七七等人擔任評審，希望鼓勵更多人運用影音平台討論公共議題，共同打造更好的公共討論環境。
呱吉爆有人開價40萬要他談「大同案」　黃國昌：只會適得其反,https://www.ettoday.net/news/20200613/1737145.htm?from=pctaglist,2020-06-13 16:52,網紅「呱吉」、台北市議員邱威傑日前爆料，指出有公關公司開價40萬，請他發表反對前時代力量立委黃國昌擔任大同獨董的影片與文章。對此，黃國昌13日受訪時表示，不管背後的影武者是誰，在媒體或網路上做這樣的操作只會適得其反。
罷免成功關鍵在「就算是石頭來當都好」　呱吉分析韓粉反擊難達標,https://www.ettoday.net/news/20200612/1735911.htm?from=pctaglist,2020-06-12 06:36,台北市議員「呱吉」邱威傑在韓國瑜罷免投票通過後，兌現承諾用屁股夾斷53根筷子，掀起網友熱議。不過，他11日在YouTube的直播中談到罷免這件事，坦言想要達到目標是非常耗費精神和社會資源的，絕對沒有想像中那麼容易，畢竟會想罷免一個人不是因為痛恨，而是「相信就算是一顆石頭來當他的職務，都會比現在的狀況好」。
呱吉臀「夾爆53根筷子」！醫曝「屁股肌強」神功用...久坐不動恐纖維化,https://www.ettoday.net/news/20200611/1735562.htm?from=pctaglist,2020-06-11 18:26,台北市議員呱吉曾喊出罷韓同意票若超過40萬，多一萬票就用屁股夾斷一根筷子，最後兌現諾言，用屁股夾爆53根筷子，不少網友笑稱這屁股肌肉超有力。復健科醫師表示，屁屁如果無力，除了造成屁股痛，還有膝蓋酸軟、椎間盤突出等問題。他指出，現代人常坐在椅子上，會使屁股萎縮無力，還會有一些嚴重後果，不能大意。
呱吉快來看！　男偶像「一次夾斷28根竹筷」被封：最強屁股,https://www.ettoday.net/news/20200611/1735704.htm?from=pctaglist,2020-06-11 17:53,高雄市長韓國瑜的罷免案於6日通過，先前揚言「多幾萬票就夾斷幾根筷子」的YouTuber、台北市議員「呱吉」邱威傑兌現承諾，用屁股夾斷共53根筷子，被網友大讚是「真男人」。影片中呱吉最多只挑戰到「一次夾斷5根筷子」，不過曾有男偶像一次夾斷28根筷子，被稱作「最強屁股」。
呱吉「屁夾53根竹筷」紅到日本！日網洗版笑翻：好像更喜歡台灣人了,https://www.ettoday.net/news/20200611/1735451.htm?from=pctaglist,2020-06-11 15:04,原本預言罷韓失敗的台北市議員「呱吉」邱威傑，日前兌現承諾，用屁股夾斷共53根筷子，「負責任」的態度被網友大讚真男人，如今呱吉「屁夾竹筷事件」也紅到日本，再度掀起一波熱議。
兌現罷韓祭品文！呱吉「屁股夾爆53根筷子」　雞排妹深夜讚爆：太帥氣了,https://www.ettoday.net/news/20200610/1734307.htm?from=pctaglist,2020-06-10 10:58,原本對罷韓失敗「有信心的」的台北市議員「呱吉」，曾喊話若同意票超過40萬，多一萬票就用屁股夾斷筷子。最後看著93萬票數出爐，呱吉終於在9日兌現承諾「夾爆53根筷子」，影片讓6萬網友笑歪，連雞排妹也在留言串回應「太帥氣了！」
呱吉感謝祭「屁股猛夾53根竹筷」　穿黑三角褲「緊繃臀大肌」…網笑：說到做到,https://www.ettoday.net/news/20200609/1734044.htm?from=pctaglist,2020-06-09 21:35,高雄市長韓國瑜的罷免案於6日通過，日前揚言「多幾萬票就夾斷幾根筷子」的台北市議員「呱吉」邱威傑於9日兌現承諾，用屁股夾斷共53根筷子，並且將影片上傳至網路，引發網友大讚「真男人」。
罷韓93萬票沒過門檻？　呱吉曝「韓粉式數學」傻了：我真沒想到,https://www.ettoday.net/news/20200609/1733871.htm?from=pctaglist,2020-06-09 18:25,高雄市長韓國瑜罷免案以93萬9090票確定過關，但也引發韓粉不滿。身為台北市議員的網紅呱吉（邱威傑）就分享「韓粉式數學」，有韓粉表示罷韓同意票根本未達門檻，讓他傻眼直呼：「我真沒想到。」
罷韓成功就要夾斷筷子！鄉民一看票數「幫咖撐哀悼」　呱吉回應了,https://www.ettoday.net/news/20200606/1731775.htm?from=pctaglist,2020-06-06 19:32,台北市議員「呱吉」先前曾在臉書貼出影片，認為投下同意罷免韓國瑜的票數僅40萬票，象徵罷韓不會過關，「要是覺得結果不會這樣，就給我去投票！只要多幾萬票，我就夾斷幾根筷子！」結果今（6）日開票結果一公布，PTT鄉民馬上敲碗「準備面對好40根筷子了嗎？」呱吉也在臉書貼文出聲。
